Type of Test:,VdP AC Hall
Measurement Date:,12 April 2023
Sample Name:,1000 angstrom copper on SiO2 on Si
Created by:,William Ryan
Composition:,100 nm copper on thermal SiO2 on Si
Creation Date,27 March 2022
Thickness (nm),1E-5
Width (nm),0.8
Current Control:,Smart Sweep
Av. Temperature (K), B field freq. (Hz), Av. Bfield magnitude (T), Carrier Type (-1 = electron; 1 = hole), Carrier Density (1/cm^3), Sheet Carrier Density (1/cm^2), Mobility (cm^2 / V s), Hall Coefficient (Ohm m / T), Consistency Warning, Consistency Error, Hall Coef. D (Ohm m / T), Hall Coef. E (Ohm m / T), R_D (Ohms), Theta_D (rad), R_E (Ohms), Theta_E (rad), Av Current_D (A), Av. Current_E (A), Av B mag D (T), Av B mag E (T), Resistivity (Ohm cm)
291.718813, 0.17, 0.964022, -1, 1.235435E+22, 1.235435E+17, 198.402269, 5.052075E-10, 1, 1, 9.64658E-10, 4.575699E-11, 0.009299, 0.183517, 0.000441, 0.524862, 0.004144, 0.004144, 0.963926, 0.963876, 2.54638E-6
291.718813, 0.17, 0.964022, -1, 1.143264E+22, 1.143264E+17, 214.397538, 5.459375E-10, 1, 1, 1.047791E-9, 4.408443E-11, 0.010115, -0.837055, 0.000424, 0.536529, 0.003507, 0.003506, 0.965361, 0.96207, 2.54638E-6
291.718813, 0.17, 0.964022, -1, 1.723333E+22, 1.723333E+17, 142.232012, 3.621767E-10, 1, 1, 6.77555E-10, 4.679838E-11, 0.006534, -0.892851, 0.000452, 0.526621, 0.002869, 0.002869, 0.964316, 0.965238, 2.54638E-6
291.718813, 0.17, 0.964022, 1, 3.014847E+22, 3.014847E+17, 81.301984, 2.070257E-10, 1, 1, 3.716016E-10, 4.244984E-11, 0.003578, -2.940595, 0.00041, 0.551027, 0.002231, 0.002231, 0.962731, 0.965734, 2.54638E-6
291.718813, 0.17, 0.964022, 1, 1.629478E+22, 1.629478E+17, 150.424299, 3.830374E-10, 1, 1, 7.183145E-10, 4.776019E-11, 0.006918, -2.199582, 0.00046, 0.63849, 0.001594, 0.001594, 0.96309, 0.962854, 2.54638E-6
291.718813, 0.17, 0.964022, -1, 8.587674E+21, 8.587674E+16, 285.424295, 7.267986E-10, 1, 1, 1.403103E-9, 5.049417E-11, 0.013547, 1.384697, 0.000487, 0.603969, 0.000957, 0.000957, 0.965516, 0.963639, 2.54638E-6
291.718813, 0.17, 0.964022, -1, 9.31649E+16, 9.31649E+11, 2.63096E+7, 6.699422E-5, 1, 1, 0.000124, 9.920638E-6, 1196.718108, 0.49108, 95.780756, -2.53397, 4.5E-9, 1.5E-9, 0.964568, 0.96547, 2.54638E-6
291.718813, 0.17, 0.964022, 1, 2.238562E+21, 2.238562E+16, 1094.95772, 2.788178E-9, 1, 1, 5.534426E-9, 4.193005E-11, 0.053352, 2.406296, 0.000404, 0.520375, -0.000957, -0.000957, 0.963994, 0.964413, 2.54638E-6
291.718813, 0.17, 0.964022, 1, 3.113517E+21, 3.113517E+16, 787.254565, 2.004649E-9, 1, 1, 3.965344E-9, 4.395438E-11, 0.038192, 2.024922, 0.000423, 0.460116, -0.001594, -0.001594, 0.963134, 0.963247, 2.54638E-6
291.718813, 0.17, 0.964022, -1, 1.41368E+22, 1.41368E+17, 173.386574, 4.41508E-10, 1, 1, 8.386991E-10, 4.431694E-11, 0.008092, -1.057515, 0.000428, 0.466151, -0.002231, -0.002231, 0.964797, 0.965554, 2.54638E-6
291.718813, 0.17, 0.964022, -1, 2.193734E+22, 2.193734E+17, 111.73328, 2.845153E-10, 1, 1, 5.225457E-10, 4.648503E-11, 0.005046, 1.394152, 0.000448, 0.572802, -0.002869, -0.002869, 0.965746, 0.96479, 2.54638E-6
291.718813, 0.17, 0.964022, 1, 9.365208E+21, 9.365208E+16, 261.727327, 6.664571E-10, 1, 1, 1.284652E-9, 4.826188E-11, 0.01235, 1.933617, 0.000465, 0.572496, -0.003507, -0.003506, 0.961318, 0.963767, 2.54638E-6
291.718813, 0.17, 0.964022, 1, 1.697394E+22, 1.697394E+17, 144.405496, 3.677112E-10, 1, 1, 6.886448E-10, 4.67776E-11, 0.006627, -1.641901, 0.000451, 0.506078, -0.004144, -0.004144, 0.962285, 0.964053, 2.54638E-6
291.718813, 0.17, 0.964022, 1, 1.862664E+22, 1.862664E+17, 131.592719, 3.35085E-10, 1, 1, 6.247794E-10, 4.539065E-11, 0.006021, 2.14506, 0.000437, 0.552115, -0.004782, -0.004782, 0.963695, 0.962083, 2.54638E-6
291.718813, 0.17, 0.964022, -1, 8.445701E+21, 8.445701E+16, 290.222291, 7.390161E-10, 1, 1, 1.432159E-9, 4.587313E-11, 0.013821, -1.113477, 0.000443, 0.471693, -0.005419, -0.005419, 0.965056, 0.964776, 2.54638E-6
291.718813, 0.17, 0.964022, -1, 1.123657E+23, 1.123657E+18, 21.813867, 5.554639E-11, 1, 1, 6.303943E-11, 4.805334E-11, 0.000607, -0.744539, 0.000463, 0.526607, -0.006057, -0.006057, 0.96316, 0.964536, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 1.106422E+23, 1.106422E+18, 22.153667, 5.641165E-11, 1, 1, 5.292147E-11, 5.990182E-11, 0.000247, -0.060444, 0.00028, 0.06744, 0.006057, 0.006057, 0.467057, 0.467001, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 9.225093E+22, 9.225093E+17, 26.570256, 6.765796E-11, 1, 1, 7.163169E-11, 6.368422E-11, 0.000335, -2.149419, 0.000297, -0.011888, 0.005419, 0.005419, 0.467107, 0.466999, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 1.043497E+23, 1.043497E+18, 23.48958, 5.981339E-11, 0, 0, 5.938713E-11, 6.023965E-11, 0.000277, 3.028707, 0.000281, 0.042169, 0.004782, 0.004782, 0.467132, 0.467043, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 1.188884E+23, 1.188884E+18, 20.617079, 5.249891E-11, 1, 1, 4.427147E-11, 6.072635E-11, 0.000207, -1.832659, 0.000284, 0.086813, 0.004144, 0.004144, 0.467883, 0.467044, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 4.609754E+22, 4.609754E+17, 53.172699, 1.353979E-10, 1, 1, 2.11322E-10, 5.947379E-11, 0.000988, -0.086339, 0.000278, 0.112736, 0.003506, 0.003506, 0.467746, 0.467067, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 3.552897E+22, 3.552897E+17, 68.989636, 1.756738E-10, 1, 1, 2.859067E-10, 6.544091E-11, 0.001329, -0.785678, 0.000306, 0.103316, 0.002869, 0.002869, 0.464685, 0.466981, 2.54638E-6
291.725563, 0.37, 0.467029, 1, 3.36948E+22, 3.36948E+17, 72.745067, 1.852366E-10, 1, 1, 3.096542E-10, 6.081895E-11, 0.001446, -2.490636, 0.000284, 0.064133, 0.002231, 0.002231, 0.466898, 0.466798, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 6.525235E+21, 6.525235E+16, 375.638684, 9.565187E-10, 1, 1, 1.856027E-9, 5.70107E-11, 0.008671, -0.728163, 0.000265, -0.074421, 0.001594, 0.001594, 0.467195, 0.465144, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 9.155338E+21, 9.155338E+16, 267.726951, 6.817345E-10, 1, 1, 1.294627E-9, 6.884205E-11, 0.00606, 0.720769, 0.000322, -0.082315, 0.000957, 0.000957, 0.468123, 0.467041, 2.54638E-6
291.725563, 0.37, 0.467029, 1, 1.170181E+16, 1.170181E+11, 2.094659E+8, 0.000533, 1, 1, 0.001063, 4.015082E-6, 4960.719527, -2.378855, 18.750852, -0.659813, 3.5E-9, 3E-9, 0.466784, 0.46701, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 1.069665E+21, 1.069665E+16, 2291.493169, 5.835012E-9, 1, 1, 1.159518E-8, 7.4842E-11, 0.054159, 1.146582, 0.00035, 0.217174, -0.000957, -0.000957, 0.467082, 0.466986, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 4.538106E+21, 4.538106E+16, 540.122022, 1.375356E-9, 1, 1, 2.696685E-9, 5.402688E-11, 0.012576, 0.230162, 0.000252, 0.295806, -0.001594, -0.001594, 0.466344, 0.466999, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 2.491375E+21, 2.491375E+16, 983.84671, 2.505247E-9, 1, 1, 4.951442E-9, 5.905201E-11, 0.023116, 1.497387, 0.000276, -0.019924, -0.002232, -0.002231, 0.466847, 0.467086, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 1.933999E+21, 1.933999E+16, 1267.389773, 3.227256E-9, 1, 1, 6.393394E-9, 6.11175E-11, 0.029856, 1.573758, 0.000285, 0.036495, -0.002869, -0.002869, 0.466976, 0.467088, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 5.126664E+21, 5.126664E+16, 478.114216, 1.21746E-9, 1, 1, 2.37651E-9, 5.841028E-11, 0.011066, 1.303907, 0.000273, 0.009598, -0.003506, -0.003506, 0.46563, 0.466956, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 5.752989E+21, 5.752989E+16, 426.062161, 1.084916E-9, 1, 1, 2.110443E-9, 5.938883E-11, 0.009908, 0.023836, 0.000278, 0.044521, -0.004144, -0.004144, 0.469456, 0.468748, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 5.989127E+21, 5.989127E+16, 409.263461, 1.04214E-9, 1, 1, 2.023078E-9, 6.120265E-11, 0.009416, -1.401163, 0.000286, -0.003364, -0.004782, -0.004782, 0.465434, 0.467147, 2.54638E-6
291.725563, 0.37, 0.467029, 1, 1.443804E+22, 1.443804E+17, 169.768948, 4.322962E-10, 1, 1, 8.049842E-10, 5.960819E-11, 0.00376, -2.271921, 0.000279, 0.005575, -0.005419, -0.005419, 0.467053, 0.46829, 2.54638E-6
291.725563, 0.37, 0.467029, -1, 2.120695E+22, 2.120695E+17, 115.581496, 2.943144E-10, 1, 1, 5.250643E-10, 6.356447E-11, 0.002453, 1.124219, 0.000297, 0.083635, -0.006057, -0.006057, 0.467117, 0.466999, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 9.817754E+22, 9.817754E+17, 24.966309, 6.35737E-11, 0, 0, 6.28201E-11, 6.432731E-11, 0.000181, -0.20713, 0.000184, -0.166623, 0.006057, 0.006057, 0.287919, 0.285806, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 9.980053E+22, 9.980053E+17, 24.560298, 6.253984E-11, 1, 1, 5.751442E-11, 6.756527E-11, 0.000164, -0.147629, 0.000194, -0.231403, 0.005419, 0.005419, 0.285847, 0.287477, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 9.049664E+22, 9.049664E+17, 27.085323, 6.896952E-11, 0, 0, 6.839858E-11, 6.954046E-11, 0.000195, -0.151536, 0.0002, -0.173325, 0.004782, 0.004782, 0.285604, 0.287307, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 1.03278E+23, 1.03278E+18, 23.733329, 6.043407E-11, 1, 0, 6.174235E-11, 5.912578E-11, 0.000177, -0.164463, 0.000169, -0.218176, 0.004144, 0.004144, 0.287198, 0.286075, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 1.029904E+23, 1.029904E+18, 23.799613, 6.060285E-11, 1, 1, 5.727064E-11, 6.393505E-11, 0.000164, -0.183335, 0.000183, -0.188945, 0.003506, 0.003507, 0.286794, 0.285713, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 9.168117E+22, 9.168117E+17, 26.73538, 6.807843E-11, 1, 0, 6.9171E-11, 6.698586E-11, 0.000198, -0.272193, 0.000193, -0.161491, 0.002869, 0.002869, 0.285856, 0.287665, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 9.20735E+22, 9.20735E+17, 26.621459, 6.778834E-11, 0, 0, 6.804846E-11, 6.752822E-11, 0.000195, -0.113188, 0.000193, -0.106688, 0.002231, 0.002231, 0.285953, 0.286433, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 9.401123E+22, 9.401123E+17, 26.072744, 6.63911E-11, 1, 1, 6.991973E-11, 6.286248E-11, 0.000201, -0.232218, 0.00018, -0.525803, 0.001594, 0.001594, 0.286906, 0.286489, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 1.000896E+23, 1.000896E+18, 24.489363, 6.235922E-11, 1, 1, 8.375515E-11, 4.096328E-11, 0.00024, -0.211834, 0.000117, -0.047998, 0.000957, 0.000957, 0.28663, 0.285828, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 2.305527E+17, 2.305527E+12, 1.063154E+7, 2.707194E-5, 1, 1, 2.634542E-5, 2.779846E-5, 75.567737, 2.745961, 79.497836, 0.333641, 1E-9, -5E-10, 0.286834, 0.285979, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 9.047122E+22, 9.047122E+17, 27.092933, 6.898889E-11, 0, 0, 6.81591E-11, 6.981869E-11, 0.000195, -0.211121, 0.000201, 0.304081, -0.000957, -0.000957, 0.286054, 0.287392, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 9.285517E+22, 9.285517E+17, 26.397354, 6.721768E-11, 1, 1, 7.748896E-11, 5.694641E-11, 0.000222, -0.541212, 0.000163, -0.133533, -0.001594, -0.001594, 0.286664, 0.285369, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 1.034887E+23, 1.034887E+18, 23.685009, 6.031102E-11, 1, 1, 4.712666E-11, 7.349539E-11, 0.000135, -0.109603, 0.000211, -0.201885, -0.002231, -0.002231, 0.286625, 0.286668, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 1.076287E+23, 1.076287E+18, 22.773955, 5.799113E-11, 1, 1, 6.152984E-11, 5.445243E-11, 0.000176, -0.127753, 0.000156, -0.153032, -0.002869, -0.002869, 0.28625, 0.286405, 2.54638E-6
291.744188, 0.57, 0.286546, 1, 2.614983E+21, 2.614983E+16, 937.341037, 2.386826E-9, 1, 1, 4.712386E-9, 6.126646E-11, 0.013546, 2.602216, 0.000176, -0.028556, -0.003507, -0.003506, 0.287447, 0.287256, 2.54638E-6
291.744188, 0.57, 0.286546, 1, 3.253118E+21, 3.253118E+16, 753.471223, 1.918624E-9, 1, 1, 3.777493E-9, 5.975483E-11, 0.010842, 3.062958, 0.000171, -0.077763, -0.004144, -0.004144, 0.287028, 0.286808, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 2.556881E+21, 2.556881E+16, 958.641035, 2.441064E-9, 1, 1, 4.816585E-9, 6.554262E-11, 0.01381, -1.302846, 0.000188, -0.136963, -0.004782, -0.004782, 0.286709, 0.286564, 2.54638E-6
291.744188, 0.57, 0.286546, 1, 1.508614E+21, 1.508614E+16, 1624.757094, 4.137248E-9, 1, 1, 8.209651E-9, 6.48462E-11, 0.023495, -2.57481, 0.000186, -0.182661, -0.005419, -0.005419, 0.286182, 0.286952, 2.54638E-6
291.744188, 0.57, 0.286546, -1, 1.242009E+21, 1.242009E+16, 1973.520397, 5.025332E-9, 1, 1, 9.990632E-9, 6.003216E-11, 0.028671, 0.068316, 0.000171, -0.18859, -0.006057, -0.006057, 0.286977, 0.285565, 2.54638E-6
